run,demand,policy,step,avg_wait_time,avg_journey_time,stair_switch_rate,elevator_utilization,avg_student_wait,avg_faculty_wait,avg_staff_wait,equity_student_faculty,equity_student_staff
34,low,Zone batching,10800,34.85113268608414,55.89967637540453,0.08414239482200647,0.2542857142857143,35.30379746835443,44.5,34.06018518518518,0.7933437633338074,1.0365121996961475
35,medium,Zone batching,10800,41.62761506276151,67.25732217573221,0.15481171548117154,0.31885714285714284,42.95983935742972,50.82051282051282,37.99473684210526,0.845324790585146,1.1306786920503737
36,high,Zone batching,10800,66.7825484764543,101.92659279778394,0.5249307479224377,0.27666666666666667,68.42557651991615,49.36538461538461,67.41450777202073,1.386104393858839,1.014997791741128
37,low,FCFS,10800,25.24092409240924,47.64356435643565,0.033003300330033,0.2557142857142857,32.56818181818182,19.4375,22.467336683417084,1.6755334697456885,1.4495791057522216
38,medium,FCFS,10800,34.00968523002421,59.9636803874092,0.05084745762711865,0.28295238095238096,37.91237113402062,25.307692307692307,31.259067357512954,1.498057218061605,1.2128439630144172
39,high,FCFS,10800,42.5880829015544,76.68523316062176,0.07901554404145078,0.3757142857142857,48.38269230769231,29.26,30.97029702970297,1.6535438245964562,1.5622288756639782
40,low,Priority-based,10800,37.21602787456446,59.710801393728225,0.12195121951219512,0.25333333333333335,39.23529411764706,40.05263157894737,35.98360655737705,0.9795934142382313,1.0903658046362052
41,medium,Priority-based,10800,54.274193548387096,82.65927419354838,0.3084677419354839,0.26904761904761904,55.66938775510204,44.76470588235294,54.1889400921659,1.2435999892729759,1.0273201073949436
42,high,Priority-based,10800,54.59922680412371,86.56056701030928,0.2925257731958763,0.35904761904761906,53.57142857142857,41.95652173913044,61.72959183673469,1.2768319763138414,0.8678403173816018
43,low,Zone batching,10800,33.71636363636364,53.63636363636363,0.11636363636363636,0.232,37.67142857142857,42.166666666666664,31.756476683937823,0.8933935629587804,1.1862597021187329
44,medium,Zone batching,10800,47.71369294605809,74.97717842323651,0.21784232365145229,0.32142857142857145,52.21848739495798,42.027027027027025,43.55072463768116,1.2424977708125051,1.1990268320306492
45,high,Zone batching,10800,50.733170134638925,82.2141982864137,0.17747858017135862,0.3952380952380952,49.23034734917733,39.679245283018865,57.22119815668203,1.2407077553525434,0.8603515643691294
46,low,FCFS,10800,25.983922829581992,46.01929260450161,0.01929260450160772,0.27904761904761904,29.698630136986303,27.857142857142858,24.65625,1.0661046715841236,1.2045071791933608
47,medium,FCFS,10800,33.3552036199095,59.7579185520362,0.03167420814479638,0.31247619047619046,40.43867924528302,26.36842105263158,26.916666666666668,1.5336026061085377,1.5023657923944156
48,high,FCFS,10800,41.76245210727969,74.41123882503193,0.09067688378033206,0.40095238095238095,45.56866537717602,30.215686274509803,35.348837209302324,1.5081128710162084,1.2891135600122163
49,low,Priority-based,10800,32.70358306188925,53.40065146579805,0.08794788273615635,0.23904761904761904,33.50684931506849,41.54545454545455,32.00448430493274,0.8065105962051496,1.0469423283256654
50,medium,Priority-based,10800,45.57377049180328,72.44262295081967,0.17008196721311475,0.2958095238095238,42.705627705627705,44.03030303030303,48.75892857142857,0.9699144626880346,0.8758524634737783
51,high,Priority-based,10800,51.018450184501845,83.36162361623616,0.18696186961869618,0.3576190476190476,52.21616541353384,40.59016393442623,51.013636363636365,1.286424107522441,1.0235726981179225
52,low,Zone batching,10800,47.33980582524272,71.09061488673139,0.2912621359223301,0.21571428571428572,58.848837209302324,55.857142857142854,42.48148148148148,1.05355974543508,1.3852821313436467
53,medium,Zone batching,10800,47.7037037037037,75.01440329218107,0.1646090534979424,0.32295238095238094,45.59016393442623,44.371428571428574,50.75845410628019,1.0274666694815955,0.8981787317432407
54,high,Zone batching,10800,67.37931034482759,104.24137931034483,0.4994054696789536,0.3097142857142857,67.19166666666666,53.763636363636365,72.01075268817205,1.2497604554165256,0.9330782439898461
55,low,FCFS,10800,29.904024767801857,50.98142414860681,0.04024767801857585,0.2571428571428571,37.795180722891565,22.25,27.82547169811321,1.6986598077704074,1.3582943402700478
56,medium,FCFS,10800,35.97265625,62.66796875,0.048828125,0.3222857142857143,41.03501945525292,26.58139534883721,31.74056603773585,1.5437496382991038,1.2928256983970308
57,high,FCFS,10800,44.14336917562724,76.64396654719235,0.1039426523297491,0.38171428571428573,47.25429553264605,33.589285714285715,38.015075376884425,1.4068264486061555,1.2430409532050974
58,low,Priority-based,10800,39.618374558303884,61.696113074204945,0.2049469964664311,0.18285714285714286,46.4125,47.125,36.06951871657754,0.9848806366047745,1.2867512972572277
59,medium,Priority-based,10800,48.0811320754717,75.27358490566037,0.18490566037735848,0.3414285714285714,51.003861003861005,48.18181818181818,44.88655462184874,1.058570700080134,1.1362837142112627
60,high,Priority-based,10800,50.702564102564104,81.06923076923077,0.16794871794871793,0.37285714285714283,48.75757575757576,41.0377358490566,58.437185929648244,1.188115639150122,0.8343587217953027
61,low,Zone batching,10800,33.1608832807571,53.35015772870663,0.08832807570977919,0.2542857142857143,36.6551724137931,46.5,31.31081081081081,0.7882832777159807,1.1706874227970177
62,medium,Zone batching,10800,50.86534216335541,78.45916114790288,0.2229580573951435,0.2899047619047619,49.53508771929825,48.45161290322581,52.81443298969072,1.0223619968696709,0.9379081609939351
63,high,Zone batching,10800,52.35432098765432,84.57530864197531,0.21604938271604937,0.3595238095238095,52.476950354609926,41.642857142857146,55.14736842105263,1.2601669038842862,0.9515766909119951
64,low,FCFS,10800,31.72972972972973,53.069069069069066,0.06306306306306306,0.23904761904761904,34.056179775280896,23.944444444444443,31.43362831858407,1.4222998514038425,1.083431394878024
65,medium,FCFS,10800,34.32203389830509,62.96822033898305,0.0423728813559322,0.3628571428571429,36.62240663900415,27.857142857142858,32.32857142857143,1.3146504947334823,1.132818588038131
66,high,FCFS,10800,41.80429292929293,73.79545454545455,0.08964646464646464,0.38571428571428573,45.573584905660375,30.17241379310345,35.318627450980394,1.5104388140161724,1.29035549212418
67,low,Priority-based,10800,47.07432432432432,68.4054054054054,0.3108108108108108,0.16,59.2027027027027,59.125,42.429906542056074,1.0013142106165362,1.3953059888081916
68,medium,Priority-based,10800,47.57230142566191,75.10997963340122,0.1934826883910387,0.3242857142857143,49.49609375,44.588235294117645,45.62686567164179,1.1100707041556728,1.084801531321557
69,high,Priority-based,10800,52.18147684605757,82.69962453066333,0.21401752190237797,0.3761904761904762,50.14051094890511,43.407407407407405,60.263959390862944,1.155114160085698,0.8320148801326067
70,low,Zone batching,10800,32.183229813664596,52.67080745341615,0.12111801242236025,0.24666666666666667,42.51282051282051,40.5625,28.06140350877193,1.0480818616411836,1.5149926659773485
