"BehaviorSpace results (NetLogo 7.0.3)","Stats version 2.0"
"elevator_sim.nlogox"
"elevator_sim_experiment"
"05/28/2026 13:28:43:184 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-2","14"
"demand-chooser","medium-burst-fraction-slider","secondary-burst-fraction-slider","policy-chooser","[step]","(mean) avg-wait-time","(std) avg-wait-time","(mean) avg-journey-time","(std) avg-journey-time","(mean) stair-switch-rate","(std) stair-switch-rate","(mean) elevator-utilization","(std) elevator-utilization","(mean) avg-student-wait","(std) avg-student-wait","(mean) avg-faculty-wait","(std) avg-faculty-wait","(mean) avg-staff-wait","(std) avg-staff-wait","(mean) equity-student-faculty","(std) equity-student-faculty","(mean) equity-student-staff","(std) equity-student-staff"
"low","0.3","0.2","FCFS","10800","26.58587361278337","2.206197028237957","47.81974763538408","2.7158902612208746","0.03196169343609403","0.01754813383099112","0.2541485714285714","0.016690335954848673","32.078549642452145","3.3580242902064064","21.6800058061993","4.517553122470702","24.83636752578902","2.6589711575191908","1.5362312419136466","0.31802718221688975","1.3038524963601106","0.18027596520084968"
"medium","0.3","0.2","FCFS","10800","34.53451454736954","1.7413670196713595","62.05770389131969","2.3138791203217113","0.04000698737042782","0.014091028859890213","0.3315466666666667","0.019030654921924513","39.21083282848298","1.903933542971908","25.632821201922184","2.650748571043457","30.557020655478787","3.0553513576856157","1.5465073268860103","0.1801340775986442","1.2947559493537808","0.13256730164869152"
"high","0.3","0.2","FCFS","10800","42.09334487700904","1.3690936170735934","74.96233593032235","1.7785139532995016","0.08668409484769185","0.013064346813665686","0.38550285714285715","0.013963987241563197","46.52211441257871","1.5132482436240646","26.679962004206978","2.060858899184789","34.78399272723102","2.4104624150737095","1.7525648264561697","0.12627606416118856","1.34326047761393","0.09466413479142666"
"low","0.3","0.2","Priority-based","10800","37.87684388126984","5.175810804921728","59.170342861471994","5.920966816210799","0.16308185849664084","0.06770281748919249","0.22214476190476187","0.02696858499941642","43.36562887728948","7.674447710472387","44.414082526864256","6.047295228674792","35.2509485900765","5.423926207189903","0.9932488496678274","0.22064875873021889","1.23989668989799","0.18242224406162594"
"medium","0.3","0.2","Priority-based","10800","47.43960240742532","5.193226550220674","74.76488836666455","6.271432879289405","0.2119215824090779","0.08578057907276786","0.3001790476190476","0.02966113463670107","49.74242814177562","6.152269666552553","46.06364582761529","3.9218711087834266","45.03729238490573","6.2594492410914135","1.0832861705354422","0.12448046687694249","1.1154513134714659","0.13874876392306357"
"high","0.3","0.2","Priority-based","10800","53.3276880137314","4.52536001192826","85.21676137680686","5.645210705579808","0.241674300744221","0.09202888333102442","0.3628838095238095","0.0333164966458485","53.123406628457936","5.091615437051286","44.425364774961736","3.91415584768035","56.2049583968339","5.2492485831216085","1.1985894388185871","0.08848903581672912","0.9485834749450703","0.08054528116806539"
"low","0.3","0.2","Zone batching","10800","35.943131241120376","4.84312899956927","56.83242709190422","5.8348224641468285","0.1434531482893441","0.05786712154622827","0.229544761904762","0.021255685988649548","41.26726400387438","6.840606526377945","43.05004708544698","7.235112691081441","33.43331981429226","5.654966195723978","0.9832335894678923","0.21099454147097488","1.260167349919698","0.24410498256672805"
"medium","0.3","0.2","Zone batching","10800","47.79511908418308","5.948315455533698","75.24420725266","7.292544027891461","0.22359587888868263","0.09519276974972356","0.29836000000000007","0.033780061153279084","49.962474945937764","7.059443106734796","47.01574293492256","4.057448810291354","45.33620517502722","6.793165659897823","1.064082639113774","0.12253423063152553","1.1130091352255391","0.14059502523289197"
"high","0.3","0.2","Zone batching","10800","55.16317168565267","6.005235240485133","87.72622380223021","7.565506632461666","0.2801005603712018","0.12018695855257527","0.3566285714285714","0.04372655497495","54.96708750993216","6.63888803946955","45.0681269889366","4.556102498229121","58.37188053140475","6.68372027495404","1.220643185781963","0.09138526043598168","0.9454210460067175","0.09061148783303691"
